Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 296,c1ccc2c(c1)n[c]cc2.ClCC(=O)N1CCc2c(C1)cc(c(c2)OC)OC,C22H22ClN2O3,397.87,28,16,0.27,4,4,0,114.05,51.66,0,4.01,3.33,2.5,2.69,2.51,-4.99,4.05e-03,1.02e-05,Moderately soluble,-4.8,6.35e-03,1.60e-05,Moderately soluble,-3.79,6.47e-02,1.63e-04,Soluble,High,Yes,Yes,No,No,No,No,No,-5.88,0,0,0,0,0,0.55,0,1,2,2.65
Molecule 297,ClCC(=O)Nc1ccc(cc1)c1ccccc1,C14H12ClNO,245.7,17,12,0.07,4,1,1,70.99,29.1,2,3.26,3.34,3.26,3.59,3.09,-3.68,5.19e-02,2.11e-04,Soluble,-3.55,7.00e-02,2.85e-04,Soluble,-5.94,2.81e-04,1.15e-06,Moderately soluble,High,Yes,No,Yes,Yes,No,Yes,No,-5.48,0,0,0,0,0,0.55,0,1,1,1.55
Molecule 298,ClCC(=O)NC12C[C@@H]3C[C@H](C2)C[C@H](C1)C3,C12H18ClNO,227.73,15,0,0.92,3,1,1,61.29,29.1,2.14,2.84,2.31,2.63,2.61,2.51,-2.84,3.27e-01,1.44e-03,Soluble,-3.11,1.77e-01,7.77e-04,Soluble,-2.98,2.41e-01,1.06e-03,Soluble,High,Yes,No,No,No,No,No,No,-5.67,0,0,0,0,0,0.55,0,1,1,3.9
Molecule 299,ClCC(=O)Nc1cc(cc(c1)C(F)(F)F)C(F)(F)F,C10H6ClF6NO,305.6,19,6,0.3,5,7,1,55.55,29.1,1.78,4.34,6.02,3.79,4.11,4.01,-4.37,1.30e-02,4.24e-05,Moderately soluble,-4.67,6.60e-03,2.16e-05,Moderately soluble,-5.18,2.03e-03,6.64e-06,Moderately soluble,High,No,No,Yes,Yes,No,No,No,-5.08,0,1,0,1,0,0.55,0,1,1,1.78
Molecule 300,ClCC(=O)Nc1ccc2c(c1)OCO2,C9H8ClNO3,213.62,14,6,0.22,3,3,1,51.61,47.56,1.52,1.39,1.4,0.97,1.91,1.44,-2.16,1.48e+00,6.93e-03,Soluble,-1.99,2.17e+00,1.02e-02,Very soluble,-3.18,1.42e-01,6.64e-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.62,0,0,0,0,0,0.55,0,1,1,2.11
Molecule 301,ClCC(=O)NCCc1c[nH]c2c1cccc2,C12H13ClN2O,236.7,16,9,0.25,5,1,2,65.48,44.89,1.54,1.58,2.07,1.55,3.25,2,-2.39,9.66e-01,4.08e-03,Soluble,-2.13,1.74e+00,7.35e-03,Soluble,-5.12,1.79e-03,7.57e-06,Moderately soluble,High,Yes,No,Yes,No,No,No,No,-6.62,0,0,0,0,0,0.55,0,1,1,1.69
Molecule 302,ClCC(=O)NCCOc1ccccc1OC,C11H14ClNO3,243.69,16,6,0.36,7,3,1,61.64,47.56,2.11,1.8,1.43,1.26,2.2,1.76,-2.3,1.22e+00,5.01e-03,Soluble,-2.42,9.31e-01,3.82e-03,Soluble,-4.1,1.92e-02,7.89e-05,Moderately soluble,High,Yes,No,Yes,No,No,No,No,-6.51,0,0,0,0,0,0.55,0,1,1,1.91
Molecule 303,ClCC(=O)NC(=O)NC12C[C@@H]3C[C@H](C2)C[C@H](C1)C3,C13H19ClN2O2,270.76,18,0,0.85,5,2,2,69.49,58.2,0.98,3,2.02,1.86,1.74,1.92,-3.08,2.26e-01,8.34e-04,Soluble,-3.89,3.52e-02,1.30e-04,Soluble,-2.97,2.91e-01,1.08e-03,Soluble,High,Yes,Yes,No,No,No,No,No,-5.82,0,0,0,0,0,0.55,0,1,0,4.46
Molecule 304,C=CC(=O)Nc1cc(F)c(c(c1)F)N1CCN(CC1)C(=O)OC(C)(C)C,C18H23F2N3O3,367.39,26,6,0.44,7,5,1,102.2,61.88,3.28,2.67,3.03,2.56,2.6,2.83,-3.51,1.14e-01,3.10e-04,Soluble,-3.62,8.79e-02,2.39e-04,Soluble,-4.03,3.41e-02,9.29e-05,Moderately soluble,High,Yes,No,Yes,No,No,No,No,-6.65,0,0,0,0,0,0.55,1,1,1,2.91
Molecule 305,ClCC(=O)N1CCN(CC1)S(=O)(=O)c1ccccc1F,C12H14ClFN2O3S,320.77,20,6,0.42,4,5,0,80.03,66.07,2.11,1.06,1.64,1.08,1.13,1.4,-2.45,1.13e+00,3.51e-03,Soluble,-2.04,2.93e+00,9.15e-03,Soluble,-3.33,1.49e-01,4.66e-04,Soluble,High,Yes,No,No,Yes,No,No,No,-7.5,0,0,0,0,0,0.55,0,1,0,2.65
Molecule 306,CCN(c1ccc(cc1NC(=O)CCl)S(=O)(=O)N)CC,C12H18ClN3O3S,319.81,20,6,0.42,7,4,2,80.37,100.88,1.27,1.14,2.25,0.8,0.49,1.19,-2.3,1.60e+00,5.00e-03,Soluble,-2.85,4.49e-01,1.40e-03,Soluble,-3.88,4.17e-02,1.30e-04,Soluble,High,No,No,No,No,No,No,No,-7.44,0,0,0,0,0,0.55,0,1,0,2.7
Molecule 307,ClCC(=O)NC(=O)c1cc(cn1C)S(=O)(=O)N1CCOCC1,C12H16ClN3O5S,349.79,22,5,0.5,6,6,1,81.79,106.09,2.2,-0.55,0.24,-1.08,-0.24,0.11,-1.43,1.29e+01,3.68e-02,Very soluble,-1.21,2.16e+01,6.19e-02,Very soluble,-2.21,2.15e+00,6.14e-03,Soluble,High,No,No,No,No,No,No,No,-8.82,0,0,0,0,0,0.55,0,1,0,2.87
Molecule 308,ClCC(=O)N1Cc2ccccc2CC1C(=O)O,C12H12ClNO3,253.68,17,6,0.33,3,3,1,67.07,57.61,1.58,1.5,0.73,1.33,1.63,1.35,-2.42,9.62e-01,3.79e-03,Soluble,-2.32,1.22e+00,4.81e-03,Soluble,-2.68,5.29e-01,2.08e-03,Soluble,High,Yes,No,No,No,No,No,No,-6.78,0,0,0,0,0,0.85,0,1,0,2.42
Molecule 309,ClCC(=O)Nc1cc(Cl)ccc1C(=O)O,C9H7Cl2NO3,248.06,15,6,0.11,4,3,2,57.52,66.4,1.11,2.74,2.02,1.97,1.98,1.97,-3.14,1.81e-01,7.31e-04,Soluble,-3.79,4.03e-02,1.63e-04,Soluble,-3.41,9.56e-02,3.85e-04,Soluble,High,Yes,No,No,No,No,No,No,-5.87,0,0,0,0,0,0.85,0,1,1,1.64
Molecule 310,ClCC(=O)N1CCC(CC1)C(c1ccccc1)(c1ccccc1)O,C20H22ClNO2,343.85,24,12,0.35,5,2,1,100.28,40.54,2.81,3.42,2.91,3.14,3.87,3.23,-4.17,2.34e-02,6.82e-05,Moderately soluble,-3.95,3.84e-02,1.12e-04,Soluble,-5.82,5.25e-04,1.53e-06,Moderately soluble,High,Yes,No,No,Yes,No,Yes,No,-5.97,0,0,0,0,0,0.55,0,1,0,2.19
Molecule 311,C=CC(=O)N1CC(C1)(O)c1cccc2c1cccc2,C16H15NO2,253.3,19,10,0.19,3,2,1,78.42,40.54,1.95,2,1.57,1.93,2.89,2.07,-2.86,3.48e-01,1.37e-03,Soluble,-2.48,8.43e-01,3.33e-03,Soluble,-4.05,2.25e-02,8.87e-05,Moderately soluble,High,Yes,No,No,No,No,No,No,-6.43,0,0,0,0,0,0.55,0,1,0,1.69
Molecule 312,OCC(=C)C(=O)NC1CCCCCCC1,C12H21NO2,211.3,15,0,0.75,4,2,2,61.37,49.33,2.27,2.7,1.76,1.37,1.95,2.01,-2.59,5.47e-01,2.59e-03,Soluble,-3.39,8.63e-02,4.08e-04,Soluble,-2.16,1.47e+00,6.95e-03,Soluble,High,Yes,No,No,No,No,No,No,-5.67,0,0,0,0,0,0.55,0,1,1,1.97
Molecule 313,COC(=O)[C@H]1Cc2c([C@H](N1C(=O)C)c1ccc3c(c1)OCO3)[nH]c1c2cccc1,C22H20N2O5,392.4,29,15,0.27,4,5,1,109,80.86,3.06,2.88,2.23,1.86,3.29,2.66,-4.21,2.44e-02,6.22e-05,Moderately soluble,-4.24,2.27e-02,5.78e-05,Moderately soluble,-5.6,9.88e-04,2.52e-06,Moderately soluble,High,No,No,No,Yes,Yes,Yes,Yes,-6.65,0,0,0,0,0,0.55,1,0,1,3.87
Molecule 314,COC(=O)[C@H]1Cc2c([C@@H](N1C(=O)C)c1ccc3c(c1)OCO3)[nH]c1c2cccc1,C22H20N2O5,392.4,29,15,0.27,4,5,1,109,80.86,2.99,2.88,2.23,1.86,3.29,2.65,-4.21,2.44e-02,6.22e-05,Moderately soluble,-4.24,2.27e-02,5.78e-05,Moderately soluble,-5.6,9.88e-04,2.52e-06,Moderately soluble,High,No,No,No,Yes,Yes,Yes,Yes,-6.65,0,0,0,0,0,0.55,1,0,1,3.87
Molecule 315,COC(=O)[C@@H]1Cc2c([C@@H](N1C(=O)C)c1ccc3c(c1)OCO3)[nH]c1c2cccc1,C22H20N2O5,392.4,29,15,0.27,4,5,1,109,80.86,2.97,2.88,2.23,1.86,3.29,2.65,-4.21,2.44e-02,6.22e-05,Moderately soluble,-4.24,2.27e-02,5.78e-05,Moderately soluble,-5.6,9.88e-04,2.52e-06,Moderately soluble,High,No,No,No,Yes,Yes,Yes,Yes,-6.65,0,0,0,0,0,0.55,1,0,1,3.87
Molecule 316,C=CC(=O)N1[C@@H](Cc2c([C@H]1c1ccc3c(c1)OCO3)[nH]c1c2cccc1)C(=O)OC,C23H20N2O5,404.42,30,15,0.22,5,5,1,113.33,80.86,3.1,3.47,2.39,2,3.68,2.93,-4.57,1.08e-02,2.67e-05,Moderately soluble,-4.85,5.71e-03,1.41e-05,Moderately soluble,-5.65,9.10e-04,2.25e-06,Moderately soluble,High,No,No,No,Yes,Yes,Yes,Yes,-6.3,0,0,0,0,0,0.55,1,1,1,3.96
Molecule 317,Cc1cc(Br)c(cc1NC(=O)C=C)C,C11H12BrNO,254.12,14,6,0.18,3,1,1,62.72,29.1,2.58,2.24,3,3.04,3.37,2.84,-2.95,2.88e-01,1.13e-03,Soluble,-2.49,8.29e-01,3.26e-03,Soluble,-4.47,8.51e-03,3.35e-05,Moderately soluble,High,Yes,No,Yes,No,No,No,No,-6.26,0,0,0,0,0,0.55,0,1,0,1.82
Molecule 318,ClCC(=O)Nc1ccccc1N1CCCCCC1,C14H19ClN2O,266.77,18,6,0.5,4,1,1,79.81,32.34,2.62,3.05,2.67,2.51,2.83,2.74,-3.4,1.07e-01,4.00e-04,Soluble,-3.4,1.07e-01,4.02e-04,Soluble,-4.42,1.01e-02,3.78e-05,Moderately soluble,High,Yes,No,Yes,Yes,No,Yes,No,-5.76,0,0,0,0,0,0.55,0,1,0,2.08
Molecule 319,C=CC(=O)N(c1ccc(c(c1)C(F)(F)F)Oc1ccccc1)Cc1cccnc1,C22H17F3N2O2,398.38,29,18,0.09,8,6,0,103.79,42.43,3.51,4.71,6.61,3.6,4.93,4.67,-5.21,2.46e-03,6.19e-06,Moderately soluble,-5.33,1.86e-03,4.68e-06,Moderately soluble,-7.75,7.17e-06,1.80e-08,Poorly soluble,High,No,No,Yes,Yes,Yes,Yes,Yes,-5.39,0,1,0,1,0,0.55,0,1,3,2.74
Molecule 320,C=CC(=O)N1CCC(CC1)Cc1ccccc1,C15H19NO,229.32,17,6,0.4,4,1,0,74.29,20.31,2.83,3.02,2.27,2.77,3.19,2.82,-3.16,1.58e-01,6.89e-04,Soluble,-3.11,1.77e-01,7.73e-04,Soluble,-3.7,4.60e-02,2.00e-04,Soluble,High,Yes,No,No,Yes,No,No,No,-5.55,0,0,0,0,0,0.55,0,1,1,1.56
Molecule 321,ClCC(=O)N(C12C[C@@H]3C[C@H](C2)C[C@H](C1)C3)Cc1ccc(cc1)F,C19H23ClFNO,335.84,23,6,0.63,5,2,0,90.64,20.31,3.24,4.61,4.63,4.42,4.47,4.27,-4.69,6.86e-03,2.04e-05,Moderately soluble,-4.76,5.82e-03,1.73e-05,Moderately soluble,-5.42,1.27e-03,3.78e-06,Moderately soluble,High,Yes,No,No,Yes,Yes,Yes,Yes,-5.08,1,0,0,0,0,0.55,0,1,1,4.24
Molecule 322,ClCC(=O)N1CCOCC1,C6H10ClNO2,163.6,10,0,0.83,2,2,0,41.73,29.54,1.54,-0.6,-0.3,-0.05,1.17,0.35,-0.34,7.40e+01,4.53e-01,Very soluble,0.45,4.62e+02,2.83e+00,Highly soluble,-1.03,1.54e+01,9.42e-02,Soluble,High,No,No,No,No,No,No,No,-7.72,0,0,0,0,1,0.55,0,1,1,1.74
Molecule 323,ClCC(=O)Nc1cc(OC)cc(c1)OC,C10H12ClNO3,229.66,15,6,0.3,5,3,1,58.53,47.56,1.91,1.66,1.69,1.24,1.95,1.69,-2.28,1.22e+00,5.30e-03,Soluble,-2.27,1.23e+00,5.34e-03,Soluble,-3.68,4.78e-02,2.08e-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.52,0,0,0,0,0,0.55,0,1,1,1.8
Molecule 324,ClCC(=O)Nc1cccc2c1cccn2,C11H9ClN2O,220.65,15,10,0.09,3,2,1,60.85,41.99,1.55,1.33,2.22,1.51,2.47,1.82,-2.34,1.01e+00,4.56e-03,Soluble,-1.81,3.39e+00,1.54e-02,Very soluble,-4.73,4.12e-03,1.87e-05,Moderately soluble,High,Yes,No,Yes,No,No,No,No,-6.7,0,0,0,0,0,0.55,0,1,1,1.53
Molecule 325,ClCC(=O)N1CCN(CC1)CC(=O)N1CCOCC1,C12H20ClN3O3,289.76,19,0,0.83,5,4,0,82.28,53.09,2.29,-0.69,-1.91,-0.45,0.53,-0.05,-0.87,3.89e+01,1.34e-01,Very soluble,0.05,3.25e+02,1.12e+00,Highly soluble,-1.17,1.98e+01,6.84e-02,Soluble,Low,No,Yes,No,No,No,No,No,-8.56,0,1,0,0,0,0.55,0,1,0,2.56
Molecule 326,N#C/C(=C\c1ccc(cc1)C)/C(=O)NCCN1CCOCC1,C17H21N3O2,299.37,22,6,0.41,6,4,1,88.49,65.36,2.71,1.58,0.86,0.62,2.52,1.66,-2.5,9.53e-01,3.18e-03,Soluble,-2.56,8.18e-01,2.73e-03,Soluble,-3.95,3.39e-02,1.13e-04,Soluble,High,No,No,No,No,No,No,No,-7,0,0,0,0,0,0.55,0,2,0,2.87
Molecule 327,C=CC(=O)N(c1ccccc1)c1ccc(cc1)Br,C15H12BrNO,302.17,18,12,0,4,1,0,77.93,20.31,3.07,4.29,4.3,4.09,3.54,3.86,-4.65,6.84e-03,2.26e-05,Moderately soluble,-4.43,1.12e-02,3.72e-05,Moderately soluble,-5.49,9.87e-04,3.27e-06,Moderately soluble,High,Yes,No,Yes,Yes,Yes,Yes,No,-5.1,0,0,0,0,0,0.55,0,1,1,2.11
Molecule 328,ClCC(=O)N1CCc2c1ccc(c2)Br,C10H9BrClNO,274.54,14,6,0.3,2,1,0,63.94,20.31,2.23,2.63,2.2,2.73,3.06,2.57,-3.38,1.13e-01,4.13e-04,Soluble,-2.71,5.39e-01,1.96e-03,Soluble,-4.11,2.16e-02,7.85e-05,Moderately soluble,High,Yes,No,Yes,No,No,No,No,-6.11,0,0,0,0,0,0.55,0,1,0,1.87
Molecule 329,CC(=O)Nc1cc(cc(c1)C(F)(F)F)C(=O)Oc1c(F)c(F)c(c(c1F)F)F,C16H7F8NO3,413.22,28,12,0.12,6,11,1,76.95,55.4,2.69,3.9,7.64,5.33,5.81,5.07,-4.78,6.86e-03,1.66e-05,Moderately soluble,-4.76,7.15e-03,1.73e-05,Moderately soluble,-7.18,2.70e-05,6.53e-08,Poorly soluble,Low,No,No,No,Yes,No,No,No,-6.05,1,1,0,1,1,0.55,0,3,2,2.58
Molecule 330,CC(=O)Nc1cccc(c1)S(=O)(=O)F,C8H8FNO3S,217.22,14,6,0.12,3,4,1,49.09,71.62,1.03,0.99,2.61,0.87,0.68,1.24,-1.93,2.55e+00,1.18e-02,Very soluble,-2.08,1.80e+00,8.27e-03,Soluble,-3,2.19e-01,1.01e-03,Soluble,High,Yes,No,No,No,No,No,No,-6.92,0,0,0,0,0,0.55,0,0,1,1.96
Molecule 331,ClCC(=O)N(C1CCN(CC1Cc1ccccc1)C(=O)c1cccc(c1)N1CCOCC1)c1ccccc1,C31H34ClN3O3,532.07,38,18,0.35,9,3,0,159.11,53.09,3.71,5.22,4.11,3.78,4.58,4.28,-6.18,3.48e-04,6.55e-07,Poorly soluble,-6.08,4.40e-04,8.26e-07,Poorly soluble,-8.32,2.52e-06,4.74e-09,Poorly soluble,High,Yes,Yes,No,Yes,Yes,Yes,Yes,-5.84,1,3,0,0,1,0.55,0,1,3,4.2
Molecule 332,C=CC(=O)Nc1cc(cc(c1)C(F)(F)F)C(=O)Oc1c(F)c(F)c(c(c1F)F)F,C17H7F8NO3,425.23,29,12,0.06,7,11,1,81.28,55.4,2.73,4.49,7.81,5.48,6.19,5.34,-5.15,3.02e-03,7.09e-06,Moderately soluble,-5.37,1.80e-03,4.23e-06,Moderately soluble,-7.23,2.49e-05,5.85e-08,Poorly soluble,Low,No,No,No,Yes,Yes,No,No,-5.71,1,1,0,1,1,0.55,0,4,2,2.67
Molecule 333,C=CC(=O)Nc1cccc(c1)S(=O)(=O)F,C9H8FNO3S,229.23,15,6,0,4,4,1,53.43,71.62,1.19,1.58,2.78,1.1,1.02,1.53,-2.29,1.18e+00,5.15e-03,Soluble,-2.69,4.63e-01,2.02e-03,Soluble,-3.06,2.01e-01,8.79e-04,Soluble,High,Yes,No,No,No,No,No,No,-6.58,0,0,0,0,0,0.55,0,1,1,2.12
Molecule 334,ClCC(=O)NCc1c(CO)cnc(c1O)C,C10H13ClN2O3,244.67,16,6,0.4,5,4,3,59.73,82.45,0.77,-0.15,0.14,-0.51,1.64,0.38,-1.21,1.51e+01,6.17e-02,Very soluble,-1.13,1.83e+01,7.46e-02,Very soluble,-3.1,1.95e-01,7.96e-04,Soluble,High,No,No,No,No,No,No,No,-7.9,0,0,0,0,0,0.55,0,1,1,2.02
Molecule 335,ClCC(=O)Nc1cc(ccc1C)C(F)(F)F,C10H9ClF3NO,251.63,16,6,0.3,4,4,1,55.52,29.1,1.97,2.61,4.15,3.12,3.45,3.06,-3.06,2.20e-01,8.75e-04,Soluble,-2.87,3.39e-01,1.35e-03,Soluble,-4.7,5.06e-03,2.01e-05,Moderately soluble,High,Yes,No,Yes,No,No,No,No,-5.98,0,0,0,0,0,0.55,0,1,0,1.76
Molecule 336,C=CC(=O)N(c1ccc(c(c1)C(F)(F)F)Oc1ccccc1)Cc1cccc(c1Cl)Cl,C23H16Cl2F3NO2,466.28,31,18,0.09,8,5,0,116.01,29.54,3.96,7.03,8.52,5.99,6.79,6.46,-7.06,4.05e-05,8.68e-08,Poorly soluble,-7.47,1.59e-05,3.42e-08,Poorly soluble,-9.28,2.42e-07,5.20e-10,Poorly soluble,Low,No,Yes,No,No,Yes,Yes,No,-4.15,1,1,0,1,1,0.55,0,1,3,2.92
Molecule 337,C=CC(=O)N(c1ccc(nc1)C(=O)Nc1ccccc1)Cc1cccc(n1)Cl,C21H17ClN4O2,392.84,28,18,0.05,8,4,1,109.29,75.19,3.22,3.39,3.76,1.97,3.55,3.18,-4.36,1.72e-02,4.38e-05,Moderately soluble,-4.65,8.84e-03,2.25e-05,Moderately soluble,-7.37,1.69e-05,4.30e-08,Poorly soluble,High,Yes,No,Yes,Yes,Yes,Yes,Yes,-6.29,0,0,0,0,0,0.55,0,2,2,2.96
Molecule 338,Nc1cc(cc(c1)C(F)(F)F)C(F)(F)F.ClCC(=O)N,C10H9ClF6N2O,322.63,20,6,0.3,3,7,2,60.28,69.11,2.01,3.33,5.33,2.91,3.2,3.36,-3.96,3.52e-02,1.09e-04,Soluble,-4.46,1.12e-02,3.48e-05,Moderately soluble,-3.82,4.89e-02,1.52e-04,Soluble,High,No,No,Yes,Yes,No,No,No,-5.9,0,0,0,0,0,0.55,0,2,0,1.72
Molecule 339,ClCC(=O)N1CCN(CC1)S(=O)(=O)c1ccc(cc1)c1ccncc1,C17H18ClN3O3S,379.86,25,12,0.29,5,5,0,103.31,78.96,2.48,1.52,2.14,0.89,1.71,1.75,-3.18,2.52e-01,6.64e-04,Soluble,-2.79,6.21e-01,1.63e-03,Soluble,-5.16,2.65e-03,6.97e-06,Moderately soluble,High,No,No,No,Yes,Yes,No,Yes,-7.54,0,0,0,0,0,0.55,0,1,1,2.74
Molecule 340,ClCC(=O)Nc1ccc(cc1)S(=O)(=O)F,C8H7ClFNO3S,251.66,15,6,0.12,4,4,1,53.89,71.62,1.02,2.79,2.83,1.18,1.22,1.81,-3.19,1.62e-01,6.46e-04,Soluble,-3.95,2.82e-02,1.12e-04,Soluble,-3.63,5.93e-02,2.36e-04,Soluble,High,Yes,No,Yes,No,No,No,No,-5.85,0,0,0,0,0,0.55,0,1,0,1.73
Molecule 341,ClCC(=O)Nc1cc(cc(c1)C(F)(F)F)C(=O)Oc1c(F)c(F)c(c(c1F)F)F,C16H6ClF8NO3,447.66,29,12,0.12,7,11,1,81.74,55.4,2.44,4.52,7.86,5.56,6.34,5.34,-5.31,2.21e-03,4.93e-06,Moderately soluble,-5.41,1.76e-03,3.94e-06,Moderately soluble,-7.79,7.34e-06,1.64e-08,Poorly soluble,Low,No,No,No,Yes,Yes,No,No,-5.82,1,1,0,1,1,0.55,0,4,2,2.64
Molecule 342,C=CC(=O)Nc1cc(cc(c1)C(F)(F)F)C(F)(F)F,C11H7F6NO,283.17,19,6,0.18,5,7,1,55.09,29.1,2.14,4.31,5.96,3.71,3.92,4.01,-4.21,1.73e-02,6.10e-05,Moderately soluble,-4.63,6.57e-03,2.32e-05,Moderately soluble,-4.61,6.90e-03,2.44e-05,Moderately soluble,High,No,No,Yes,Yes,No,No,No,-4.97,0,1,0,1,0,0.55,0,1,1,1.81
Molecule 343,ClCC(=O)Nc1cc(cc(c1)C(F)(F)F)C(F)(F)F,C10H6ClF6NO,305.6,19,6,0.3,5,7,1,55.55,29.1,1.78,4.34,6.02,3.79,4.11,4.01,-4.37,1.30e-02,4.24e-05,Moderately soluble,-4.67,6.60e-03,2.16e-05,Moderately soluble,-5.18,2.03e-03,6.64e-06,Moderately soluble,High,No,No,Yes,Yes,No,No,No,-5.08,0,1,0,1,0,0.55,0,1,1,1.78
Molecule 344,C=CC(=O)N1CCC(CC1)c1noc2c1cc(F)cc2,C15H15FN2O2,274.29,20,9,0.33,3,4,0,77,46.34,2.73,2.47,2.9,2.35,3.12,2.71,-3.23,1.61e-01,5.87e-04,Soluble,-3.09,2.24e-01,8.18e-04,Soluble,-4.08,2.27e-02,8.28e-05,Moderately soluble,High,Yes,No,Yes,Yes,No,No,No,-6.22,0,0,0,0,0,0.55,0,1,0,2.74
Molecule 345,N#C/C(=C\c1ccc(o1)c1ccccc1Cl)/C(=O)N,C14H9ClN2O2,272.69,19,11,0,3,3,1,71.52,80.02,1.9,2.54,2.88,1.02,2.95,2.26,-3.36,1.19e-01,4.35e-04,Soluble,-3.87,3.70e-02,1.36e-04,Soluble,-4.51,8.43e-03,3.09e-05,Moderately soluble,High,No,No,Yes,Yes,Yes,No,No,-6.16,0,0,0,0,0,0.55,0,2,0,3.07
Molecule 346,CC(C(=O)Nc1cc(cc(c1)C(F)(F)F)C(F)(F)F)Br,C11H8BrF6NO,364.08,20,6,0.36,5,7,1,63.44,29.1,2.26,4.91,6.56,4.17,4.35,4.45,-5.08,3.01e-03,8.27e-06,Moderately soluble,-5.26,2.01e-03,5.53e-06,Moderately soluble,-5.41,1.42e-03,3.90e-06,Moderately soluble,High,No,No,Yes,Yes,No,No,No,-5.03,1,1,0,1,0,0.55,0,1,2,2.45
Molecule 347,CC(C(=O)Nc1cc(cc(c1)C(F)(F)F)C(F)(F)F)Cl,C11H8ClF6NO,319.63,20,6,0.36,5,7,1,60.36,29.1,2.08,4.74,6.4,4.05,4.31,4.32,-4.7,6.38e-03,2.00e-05,Moderately soluble,-5.08,2.65e-03,8.30e-06,Moderately soluble,-5.2,2.01e-03,6.28e-06,Moderately soluble,High,No,No,Yes,Yes,No,No,No,-4.88,0,1,0,1,0,0.55,0,1,1,2.28
Molecule 348,C=CC(=O)N(c1ccccc1)C1CCCCC1,C15H19NO,229.32,17,6,0.4,4,1,0,71.91,20.31,3.02,3.68,3.54,3.03,2.98,3.25,-3.58,6.07e-02,2.65e-04,Soluble,-3.8,3.66e-02,1.60e-04,Soluble,-3.57,6.14e-02,2.68e-04,Soluble,High,Yes,No,Yes,Yes,No,No,No,-5.09,0,0,0,0,0,0.55,0,1,2,1.77
Molecule 349,C=CC(=O)N(c1ccccc1)C1CCN(CC1)Cc1ccccc1,C21H24N2O,320.43,24,12,0.29,6,2,0,103.21,23.55,3.28,3.96,3.34,3.33,3.46,3.47,-4.3,1.62e-02,5.06e-05,Moderately soluble,-4.16,2.24e-02,7.00e-05,Moderately soluble,-5.52,9.61e-04,3.00e-06,Moderately soluble,High,Yes,No,No,Yes,No,Yes,No,-5.44,0,0,0,0,0,0.55,0,1,1,2.18
Molecule 350,C=CC(=O)N1CCc2c1ccc(c2)Br,C11H10BrNO,252.11,14,6,0.18,2,1,0,63.48,20.31,2.48,2.6,2.14,2.65,2.9,2.55,-3.23,1.50e-01,5.94e-04,Soluble,-2.68,5.32e-01,2.11e-03,Soluble,-3.54,7.34e-02,2.91e-04,Soluble,High,Yes,No,Yes,No,No,No,No,-5.99,0,0,0,0,0,0.55,0,1,0,1.89
Molecule 351,ClCC(=O)N1C(C)CCc2c1cccc2,C12H14ClNO,223.7,15,6,0.42,2,1,0,65.85,20.31,2.24,2.73,2.21,2.6,2.71,2.5,-3.11,1.73e-01,7.75e-04,Soluble,-2.81,3.46e-01,1.55e-03,Soluble,-3.7,4.49e-02,2.01e-04,Soluble,High,Yes,No,Yes,No,No,No,No,-5.73,0,0,0,0,0,0.55,0,1,1,2.33
Molecule 352,COC(=O)C1Cc2ccccc2CN1C(=O)CCl,C13H14ClNO3,267.71,18,6,0.38,4,3,0,71.39,46.61,2.4,1.83,0.82,1.59,2.15,1.76,-2.64,6.20e-01,2.32e-03,Soluble,-2.43,9.97e-01,3.72e-03,Soluble,-3.38,1.12e-01,4.17e-04,Soluble,High,Yes,No,No,Yes,No,No,No,-6.63,0,0,0,0,0,0.55,0,1,0,2.55
Molecule 353,ClCC(=O)Nc1cc(cc(c1)C(F)(F)F)C(=O)O,C10H7ClF3NO3,281.62,18,6,0.2,5,6,2,57.51,66.4,1.12,2.13,3.54,2.39,2.46,2.33,-2.84,4.03e-01,1.43e-03,Soluble,-3.16,1.97e-01,6.98e-04,Soluble,-3.68,5.94e-02,2.11e-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.51,0,0,0,0,0,0.85,0,1,0,1.93
